conference,paper_id,doi,first_page,track,papers_with_this_track,note
20,741,,,Supply Chain,7,
20,742,,,Safety,6,
20,743,,,Applications in Practice,22,
20,744,,,Learning,9,
20,745,,,Production Planning and Control,16,
20,746,,,Applications in Practice,22,
20,747,,,Supply Chain,7,
20,748,,,,0,
20,749,,,Cost Management,4,
20,750,,,Theory,10,
20,751,,,Applications in Practice,22,
20,752,,,Design Management,8,
20,753,,,"People, Culture, and Change",12,
20,754,,,Theory,10,
20,755,,,Applications in Practice,22,
20,756,,,Applications in Practice,22,
20,757,,,"Environment, Sustainability, and “Green”",7,
20,758,,,"Environment, Sustainability, and “Green”",7,
20,759,,,Past the Tipping Point?,7,
20,760,,,,0,
20,761,,,"Environment, Sustainability, and “Green”",7,
20,762,,,Applications in Practice,22,
20,763,,,"People, Culture, and Change",12,
20,764,,,Supply Chain,7,
20,765,,,Safety,6,
20,766,,,Supply Chain,7,
20,767,,,Theory,10,
20,768,,,Production Planning and Control,16,
20,769,,,Theory,10,
20,770,,,Theory,10,
20,771,,,Learning,9,
20,772,,,Supply Chain,7,
20,773,,,Learning,9,
20,774,,,Applications in Practice,22,
20,775,,,Production Planning and Control,16,
20,776,,,Design Management,8,
20,777,,,Production Planning and Control,16,
20,778,,,Past the Tipping Point?,7,
20,779,,,Design Management,8,
20,780,,,Production Planning and Control,16,
20,781,,,Systems Engineering,2,
20,782,,,Applications in Practice,22,
20,783,,,Learning,9,
20,784,,,Product Development,5,
20,785,,,Applications in Practice,22,
20,786,,,Production Planning and Control,16,
20,787,,,"People, Culture, and Change",12,
20,788,,,Production Planning and Control,16,
20,789,,,Applications in Practice,22,
20,790,,,Production Planning and Control,16,
20,791,,,Production Planning and Control,16,
20,792,,,Prefabrication,2,
20,793,,,Supply Chain,7,
20,794,,,Past the Tipping Point?,7,
20,795,,,Past the Tipping Point?,7,
20,796,,,Production Planning and Control,16,
20,797,,,Cost Management,4,
20,798,,,Prefabrication,2,
20,799,,,Safety,6,
20,800,,,Product Development,5,
20,801,,,Production Planning and Control,16,
20,802,,,Production Planning and Control,16,
20,803,,,Product Development,5,
20,804,,,Safety,6,
20,805,,,Applications in Practice,22,
20,806,,,Cost Management,4,
20,807,,,Production Planning and Control,16,
20,808,,,Safety,6,
20,809,,,Applications in Practice,22,
20,810,,,"People, Culture, and Change",12,
20,811,,,Past the Tipping Point?,7,
20,812,,,"People, Culture, and Change",12,
20,813,,,Production Planning and Control,16,
20,814,,,"People, Culture, and Change",12,
20,815,,,Safety,6,
20,816,,,"Environment, Sustainability, and “Green”",7,
20,817,,,Learning,9,
20,818,,,Design Management,8,
20,819,,,"Environment, Sustainability, and “Green”",7,
20,820,,,Theory,10,
20,821,,,"People, Culture, and Change",12,
20,822,,,"People, Culture, and Change",12,
20,823,,,Applications in Practice,22,
20,824,,,Applications in Practice,22,
20,825,,,Applications in Practice,22,
20,826,,,Systems Engineering,2,
