conference,paper_id,doi,first_page,track,papers_with_this_track,note
23,1181,,3,Production Planning and Control,21,
23,1178,,13,Production Planning and Control,21,
23,1199,,23,Production Planning and Control,21,
23,1158,,33,Production Planning and Control,21,
23,1224,,43,Production Planning and Control,21,
23,1190,,53,Production Planning and Control,21,
23,1200,,63,Production Planning and Control,21,
23,1232,,73,Production Planning and Control,21,
23,1188,,83,Production Planning and Control,21,
23,1238,,93,Production Planning and Control,21,
23,1217,,103,Production Planning and Control,21,
23,1167,,113,Production Planning and Control,21,
23,1201,,123,Production Planning and Control,21,
23,1230,,133,Production Planning and Control,21,
23,1223,,143,Production Planning and Control,21,
23,1189,,153,Production Planning and Control,21,
23,1240,,163,Production Planning and Control,21,
23,1198,,173,Production Planning and Control,21,
23,1169,,183,Production Planning and Control,21,
23,1225,,193,Production Planning and Control,21,
23,1220,,203,Production Planning and Control,21,
23,1182,,213,"Sustainability, Green and Lean",2,
23,1179,,223,"Sustainability, Green and Lean",2,
23,1215,,235,"Industrialization, Prefabrication, Assembly and Open Building",2,
23,1171,,246,"Industrialization, Prefabrication, Assembly and Open Building",2,
23,1193,,257,Integrated Project Delivery,5,
23,1180,,267,Integrated Project Delivery,5,
23,1168,,277,Integrated Project Delivery,5,
23,1216,,287,Integrated Project Delivery,5,
23,1164,,297,Integrated Project Delivery,5,
23,1163,,309,Cost Management,9,
23,1195,,319,Cost Management,9,
23,1175,,331,Cost Management,9,
23,1202,,341,Cost Management,9,
23,1183,,351,Cost Management,9,
23,1222,,361,Cost Management,9,
23,1221,,371,Cost Management,9,
23,1184,,381,Cost Management,9,
23,1192,,391,Cost Management,9,
23,1209,,403,Teaching Lean Construction,3,
23,1176,,413,Teaching Lean Construction,3,
23,1228,,424,Teaching Lean Construction,3,
23,1159,,435,Waste in Construction,4,
23,1160,,444,Waste in Construction,4,
23,1162,,454,Waste in Construction,4,
23,1237,,463,Waste in Construction,4,
23,1211,,475,Theory,7,
23,1205,,486,Theory,7,
23,1206,,496,Theory,7,
23,1233,,507,Theory,7,
23,1161,,517,Theory,7,
23,1239,,527,Theory,7,
23,1204,,536,Theory,7,
23,1177,,547,Design Management,7,
23,1196,,558,Design Management,7,
23,1197,,568,Design Management,7,
23,1207,,578,Design Management,7,
23,1173,,589,Design Management,7,
23,1185,,599,Design Management,7,
23,1187,,609,Design Management,7,
23,1210,,621,"People, Culture and Change",10,
23,1174,,631,"People, Culture and Change",10,
23,1208,,642,"People, Culture and Change",10,
23,1166,,652,"People, Culture and Change",10,
23,1219,,661,"People, Culture and Change",10,
23,1231,,671,"People, Culture and Change",10,
23,1203,,681,"People, Culture and Change",10,
23,1172,,691,"People, Culture and Change",10,
23,1235,,701,"People, Culture and Change",10,
23,1236,,711,"People, Culture and Change",10,
23,1170,,723,Posters,13,
23,1218,,733,Posters,13,
23,1165,,743,Posters,13,
23,1213,,753,Posters,13,
23,1212,,763,Posters,13,
23,1191,,773,Posters,13,
23,1214,,783,Posters,13,
23,1194,,793,Posters,13,
23,1186,,803,Posters,13,
23,1227,,815,Posters,13,
23,1229,,826,Posters,13,
23,1234,,836,Posters,13,
23,1226,,846,Posters,13,
24,1241,,,Lean and Sustainability,6,
24,1242,,,Supply Chain Management and Prefabrication,7,
24,1243,,,Theory,17,
24,1244,,,Production System Design,6,
24,1245,,,Supply Chain Management and Prefabrication,7,
24,1246,,,Contract and Cost Management,8,
24,1247,,,,0,
24,1248,,,Production Planning and Control,20,
24,1249,,,"People, Culture and Change",11,
24,1250,,,Contract and Cost Management,8,
24,1251,,,Enabling Lean with Information Technology,11,
24,1252,,,Product Development and Design Management,21,
