committee,role,chair,first_name,last_name,affiliation,country,url,start_date,end_date
officers,general_secretary,,Frode,Drevland,Norwegian University of Science and Technology (NTNU),Norway,https://www.ntnu.edu/employees/frode.drevland,2023-06-26,2027-07-12
officers,moderator,,Mani,Poshdar,Auckland University of Technology,New Zealand,https://academics.aut.ac.nz/mani.poshdar,2023-06-26,2027-07-12
officers,former_general_secretary,,Vicente,Gonzalez-Moret,University of Alberta,Canada,https://apps.ualberta.ca/directory/person/vagonzal,2023-06-26,2027-07-12
standardisation-committee,general_secretary,yes,Frode,Drevland,Norwegian University of Science and Technology (NTNU),Norway,https://www.ntnu.edu/employees/frode.drevland,2023-06-26,2027-07-12
standardisation-committee,moderator,,Mani,Poshdar,Auckland University of Technology,New Zealand,https://academics.aut.ac.nz/mani.poshdar,2023-06-26,2027-07-12
standardisation-committee,former_general_secretary,,Vicente,Gonzalez-Moret,University of Alberta,Canada,https://apps.ualberta.ca/directory/person/vagonzal,2023-06-26,2027-07-12
standardisation-committee,elected,,Iris D.,Tommelein,"University of California, Berkeley",United States,https://ce.berkeley.edu/people/faculty/tommelein,2024-07-01,2027-07-12
standardisation-committee,elected,,Farook,Hamzeh,University of Alberta,Canada,https://apps.ualberta.ca/directory/person/hamzeh,2024-07-01,2027-07-12
standardisation-committee,elected,,Eric Fabián,Forcael Durán,Universidad San Sebastián,Chile,https://researchers.uss.cl/en/persons/eric-fabi%C3%A1n-forcael-dur%C3%A1n/,2024-07-01,2027-07-12
standardisation-committee,elected,,Emmanuel,Manu,Nottingham Trent University,United Kingdom,https://www.ntu.ac.uk/staff-profiles/architecture-design-built-environment/emmanuel-manu-dr,2025-06-02,2028-07-23
standardisation-committee,elected,,Rodrigo F.,Herrera V.,Pontificia Universidad Católica de Valparaíso,Chile,https://eic.pucv.cl/nuestro-equipo/rodrigo-f-herrera-v/,2025-06-02,2028-07-23
standardisation-committee,elected,,Laura,Florez Perez,University College London,United Kingdom,https://profiles.ucl.ac.uk/75327-laura-florez-perez,2025-06-02,2028-07-23
standardisation-committee,elected,,Patricia,Tzortzopoulos,Nottingham Trent University,United Kingdom,https://www.ntu.ac.uk/staff-profiles/architecture-design-built-environment/patricia-tzortzopoulos,2026-06-22,2029-07-01
standardisation-committee,elected,,Nelly Paola,Garcia Lopez,Universidad de los Andes,Colombia,https://academia.uniandes.edu.co/AcademyCv/ne-garci,2024-07-01,2029-07-01
standardisation-committee,elected,,Zofia K.,Rybkowski,Texas A&M University,United States,https://www.arch.tamu.edu/directory/zofia-k-rybkowski/,2024-07-01,2029-07-01
control-committee,member,,Kristen,Parrish,Arizona State University,United States,https://search.asu.edu/profile/1953437,2024-07-01,2028-07-23
