doi,type,resource_url,year,title
10.24928/2017/0033,proceedings-article,http://iglc.net/Papers/Details/1401,2017,Design-Value in the Platform Approach
10.24928/2017/0073,proceedings-article,http://iglc.net/Papers/Details/1442,2017,Assessment of Performance Measurement Frameworks Supporting the Implementation of Lean Construction
10.24928/2017/0090,proceedings-article,http://iglc.net/Papers/Details/1390,2017,Testing the Value of Best Value: Evidence From Educational Facilities Projects
10.24928/2017/0091,proceedings-article,http://iglc.net/Papers/Details/1384,2017,Lean Equipment Installation – Potentials of Using Takt Planning
10.24928/2017/0099,proceedings-article,http://iglc.net/Papers/Details/1435,2017,Removing Waste While Preserving Slack: The Lean and Complexity Perspectives
10.24928/2017/0117,proceedings-article,http://iglc.net/Papers/Details/1449,2017,Analysis and Assessment for Lean Construction Adoption: The DOLC Tool
10.24928/2017/0124,proceedings-article,http://iglc.net/Papers/Details/1396,2017,"Counterfeit, Fraudulent and Sub-Standard Materials: The Case of Steel in Norway"
10.24928/2017/0128,proceedings-article,http://iglc.net/Papers/Details/1394,2017,Standardized Work: Practical Examples in a Brazilian Construction Company
10.24928/2017/0130,proceedings-article,http://iglc.net/Papers/Details/1393,2017,How BIM-Lean Integration Enhances the Information Management Process in the Construction Design
10.24928/2017/0133,proceedings-article,http://iglc.net/Papers/Details/1463,2017,Prefabrication of Single-Family Timber Houses – Problem Areas and Wastes
10.24928/2017/0136,proceedings-article,http://iglc.net/Papers/Details/1474,2017,Integration of Lean and Information Technology to Enable a Customization Strategy in Affordable Housing
10.24928/2017/0154,proceedings-article,http://iglc.net/Papers/Details/1378,2017,Lean Anti-Corruption Toolkit
10.24928/2017/0168,proceedings-article,http://iglc.net/Papers/Details/1473,2017,Value Stream Mapping: Case Study in Columns Concreting
10.24928/2017/0179,proceedings-article,http://iglc.net/Papers/Details/1471,2017,A Framework of Five-Stream Production System for Megaprojects
10.24928/2017/0183,proceedings-article,http://iglc.net/Papers/Details/1457,2017,Phase Schedule Implementation and the Impact for Subcontractors
10.24928/2017/0193,proceedings-article,http://iglc.net/Papers/Details/1470,2017,Supply Chain Design for Modular Construction Projects
10.24928/2017/0196,proceedings-article,http://iglc.net/Papers/Details/1425,2017,A Comparison of Project Alliancing and Lean Construction
10.24928/2017/0212,proceedings-article,http://iglc.net/Papers/Details/1376,2017,House of Cards – A Simulation of Lean Construction Principles
10.24928/2017/0213,proceedings-article,http://iglc.net/Papers/Details/1450,2017,Delivery Methods and Social Network Analysis of Unethical Behavior in the Construction Industry
10.24928/2017/0217,proceedings-article,http://iglc.net/Papers/Details/1381,2017,Improving On-Site Meeting Efficiency by Using an Automated Model Breakdown Tool
10.24928/2017/0240,proceedings-article,http://iglc.net/Papers/Details/1371,2017,How Research Can Help Transform the Construction Industry
10.24928/2017/0241,proceedings-article,http://iglc.net/Papers/Details/1372,2017,Strategies That Can Help Transform the Construction Industry
10.24928/2017/0242,proceedings-article,http://iglc.net/Papers/Details/1483,2017,Green Building and Lean Management: Synergies and Conflicts
10.24928/2017/0248,proceedings-article,http://iglc.net/Papers/Details/1402,2017,"Comparing Choosing by Advantages and Weighting, Rating and Calculating Results in Large Design Spaces"
10.24928/2017/0255,proceedings-article,http://iglc.net/Papers/Details/1472,2017,Contributions of Information Technologies to Last Planner System Implementation
10.24928/2017/0261,proceedings-article,http://iglc.net/Papers/Details/1462,2017,Probability Density Function for Predicting Productivity in Masonry Construction Based on the Compatibility of a Crew
10.24928/2017/0267,proceedings-article,http://iglc.net/Papers/Details/1391,2017,BIM and Agent-Based Model Integration for Construction Management Optimization
10.24928/2017/0271,proceedings-article,http://iglc.net/Papers/Details/1482,2017,Collaborative Takt Time Planning of Non-Repetitive Work
10.24928/2017/0276,proceedings-article,http://iglc.net/Papers/Details/1444,2017,Ethical Dilemmas in Value Delivery: Theoretical Conditions
10.24928/2017/0278,proceedings-article,http://iglc.net/Papers/Details/1467,2017,Application of Bim for Supporting Decisionmaking Related to Logistics in Prefabricated Building Systems
10.24928/2017/0283,proceedings-article,http://iglc.net/Papers/Details/1379,2017,Investigating Organizational Capability Vis-à-Vis Human Action to Minimize Post-Contract Transaction Costs in D&amp;B
10.24928/2017/0292,proceedings-article,http://iglc.net/Papers/Details/1383,2017,A Taxonomy of Client Product Value in Construction Projects
10.24928/2017/0295,proceedings-article,http://iglc.net/Papers/Details/1475,2017,Development of Systematic Construction Logistics Using ‘Intelligent Products’
10.24928/2017/0297,proceedings-article,http://iglc.net/Papers/Details/1387,2017,Technical Takt Planning and Takt Control in Construction.
10.24928/2017/0300,proceedings-article,http://iglc.net/Papers/Details/1408,2017,Socio-Constructivist Account of Collaboration in Concept Design
10.24928/2017/0303,proceedings-article,http://iglc.net/Papers/Details/1479,2017,Applying Choosing by Advantages in the Public Tendering Procedure
10.24928/2017/0308,proceedings-article,http://iglc.net/Papers/Details/1440,2017,Application of Lean Production With Value Stream Mapping to the Blasting and Coating Industry
10.24928/2017/0310,proceedings-article,http://iglc.net/Papers/Details/1389,2017,The Implementation of Building Information Modelling and Lean Construction in Design Firms in Massachusetts
10.24928/2017/0315,proceedings-article,http://iglc.net/Papers/Details/1413,2017,Design Management in a Design Office: Solving the Problem of Relevance
10.24928/2017/0316,proceedings-article,http://iglc.net/Papers/Details/1412,2017,Design Management in a Design Office: Development of the Knowledge Base
10.24928/2017/0317,proceedings-article,http://iglc.net/Papers/Details/1411,2017,Design Management in a Design Office: Development of the Model for 'To-Be'
10.24928/2017/0321,proceedings-article,http://iglc.net/Papers/Details/1480,2017,IT for Lean Construction - a Survey in India
10.24928/2017/0322,proceedings-article,http://iglc.net/Papers/Details/1437,2017,A Portfolio/Process/Operations (PPO) Analysis of a Meta-Project Production System in Renovation Projects
10.24928/2017/0325,proceedings-article,http://iglc.net/Papers/Details/1367,2017,Platform Ecosystems: Unlocking the Subcontractors’ Business Model Opportunities
10.24928/2017/0331,proceedings-article,http://iglc.net/Papers/Details/1374,2017,Development of a Materials Management Strategy to Enable Continuous Work Flow on-Site.
10.24928/2017/0341,proceedings-article,http://iglc.net/Papers/Details/1426,2017,Discrete Costing Versus Collaborative Costing.
10.24928/2017/0342,proceedings-article,http://iglc.net/Papers/Details/1409,2017,Shared Understanding: The Machine Code of the Social in a Socio-Technical System
10.24928/2017/0346,proceedings-article,http://iglc.net/Papers/Details/1385,2017,An Application of Control Theory to Visual Management for Organizational Communication in Construction
10.24928/2017,proceedings,http://iglc.net/Papers/Conference/27,2017,25th Annual Conference of the International Group for Lean Construction
10.24928/2017/0008,proceedings-article,http://iglc.net/Papers/Details/1403,2017,Mobilizing Bim in a Collaborative Project Environment
10.24928/2017/0013,proceedings-article,http://iglc.net/Papers/Details/1465,2017,Key Performance Indicator for Managing Construction Logistics Performance
10.24928/2017/0052,proceedings-article,http://iglc.net/Papers/Details/1386,2017,Lean Opportunity Assessment of Contractor's Supply Chain in South Africa
10.24928/2017/0053,proceedings-article,http://iglc.net/Papers/Details/1466,2017,Mapping Waste in the Structural Design Process in South African Projects
10.24928/2017/0057,proceedings-article,http://iglc.net/Papers/Details/1477,2017,Design-Build and Design-Bid-Build in Construction- a Comparative Review
10.24928/2017/0063,proceedings-article,http://iglc.net/Papers/Details/1388,2017,Cross-Functional Project Teams in Construction: A Longitudinal Case Study
